Date,Open,High,Low,Close,Adj Close,Volume
2023-01-19,0.379419,0.395209,0.377618,0.393785,0.393785,1108881766
2023-01-20,0.393754,0.413420,0.387017,0.413344,0.413344,1053958522
2023-01-21,0.413359,0.415881,0.403303,0.403533,0.403533,1037235129
2023-01-22,0.403573,0.411099,0.397903,0.400967,0.400967,780764704
2023-01-23,0.400960,0.431117,0.400433,0.424943,0.424943,1980513812
2023-01-24,0.424777,0.429545,0.405651,0.407707,0.407707,1265360172
2023-01-25,0.407745,0.423475,0.399544,0.417693,0.417693,1104907019
2023-01-26,0.417574,0.417764,0.407735,0.410103,0.410103,892174687
2023-01-27,0.410098,0.413231,0.400898,0.412791,0.412791,813986938
2023-01-28,0.412798,0.415514,0.407047,0.408134,0.408134,508978347
2023-01-29,0.408139,0.417136,0.407309,0.413764,0.413764,566580331
2023-01-30,0.413772,0.420374,0.391159,0.394591,0.394591,1240049824
2023-01-31,0.394561,0.410883,0.389683,0.406389,0.406389,1026848071
2023-02-01,0.406357,0.415450,0.398035,0.413892,0.413892,1066789793
2023-02-02,0.413832,0.418544,0.409509,0.409747,0.409747,996287377
2023-02-03,0.409741,0.413530,0.407402,0.412205,0.412205,848078651
2023-02-04,0.412120,0.419349,0.408319,0.411305,0.411305,583121354
2023-02-05,0.411269,0.411916,0.396308,0.398937,0.398937,758068911
2023-02-06,0.398970,0.403400,0.392227,0.392824,0.392824,950972502
2023-02-07,0.392827,0.404636,0.390936,0.403904,0.403904,1015414418
2023-02-08,0.403870,0.405261,0.395334,0.398052,0.398052,853007396
2023-02-09,0.398060,0.407091,0.377222,0.382466,0.382466,1488178634
2023-02-10,0.382442,0.387627,0.378620,0.382645,0.382645,877457864
2023-02-11,0.382646,0.384111,0.380901,0.384008,0.384008,436697705
2023-02-12,0.383982,0.384864,0.374452,0.375282,0.375282,492457255
2023-02-13,0.375240,0.378181,0.364122,0.371675,0.371675,1129015396
2023-02-14,0.371611,0.383245,0.365635,0.382407,0.382407,1022310518
2023-02-15,0.382364,0.401862,0.377248,0.401352,0.401352,1072284900
2023-02-16,0.401348,0.403642,0.385090,0.385157,0.385157,1194494182
2023-02-17,0.385107,0.399634,0.382881,0.395302,0.395302,969213569
